Date,Open,High,Low,Close
01/03 10:40,22193.8,22202.1,22174.7,22178.7
01/03 10:35,22191.35,22199.55,22185.2,22193.45
01/03 10:30,22199.8,22210.7,22188,22191.75
01/03 10:25,22197.3,22208.8,22196.45,22200.05
01/03 10:20,22187.05,22200.35,22184.1,22197.8
01/03 10:15,22196.45,22205.75,22187.2,22188.6
01/03 10:10,22187.1,22201.1,22185.4,22196.95
01/03 10:05,22171.55,22196.4,22169.25,22187.15
01/03 10:00,22177.8,22186.75,22165.7,22171.15
01/03 9:55,22169.45,22179.1,22161.4,22176.5
01/03 9:50,22175.8,22183.15,22153.25,22167.85
01/03 9:45,22162.45,22179.15,22145.2,22175.65
01/03 9:40,22137.8,22167.65,22132.1,22161.85
01/03 9:35,22127.7,22137.6,22124.8,22137.6
01/03 9:30,22122.1,22138.5,22113.1,22129.2
01/03 9:25,22124.95,22132.9,22116.85,22119.55
01/03 9:20,22115.1,22124.4,22105.75,22124.4
01/03 9:15,22048.3,22125.65,22047.75,22114.6
29/02 15:25,22042.25,22060.55,22037,22042.05
29/02 15:20,22021.1,22046.5,22021.1,22042.7
29/02 15:15,21996.05,22022.75,21995.7,22022.4
29/02 15:10,21935.45,21998.65,21935.45,21996.7
29/02 15:05,21921.45,21936.85,21915.1,21934.85
29/02 15:00,21939.3,21952.65,21911.9,21920.7
29/02 14:55,21967.2,21972.05,21922.45,21937.65
29/02 14:50,21983.6,22000.6,21967.8,21968.65
29/02 14:45,21983.4,22004.25,21976.95,21983.7
29/02 14:40,21930.9,21983.45,21930.9,21983.45
29/02 14:35,21909.55,21932.3,21900.5,21932.3
29/02 14:30,21940.4,21946,21901.05,21910.2
29/02 14:25,21950.15,21962.2,21937.7,21943.4
29/02 14:20,21948.7,21956.65,21936.15,21951.35
29/02 14:15,21961,21967,21948.6,21950.1
29/02 14:10,21938.05,21964.9,21937.7,21962.35
29/02 14:05,21950.75,21957.95,21939.6,21939.95
29/02 14:00,21975.6,21976.45,21946,21951.05
29/02 13:55,21969.9,21978.6,21958.3,21973.85
29/02 13:50,21978.65,21986.1,21965.2,21971.8
29/02 13:45,21951.55,21979.65,21946,21974.45
29/02 13:40,21944.35,21956.25,21936.35,21953.55
29/02 13:35,21978.7,21984.8,21944.4,21945.05
29/02 13:30,21969.45,21982.9,21961.2,21982.4
29/02 13:25,21966,21974.55,21960.7,21969.8
29/02 13:20,21962.35,21968.1,21952.5,21966.55
29/02 13:15,21969,21988.75,21963.2,21965.15
29/02 13:10,21954.3,21974.25,21948.65,21969.95
29/02 13:05,21950.75,21956.05,21940.5,21953.6
29/02 13:00,21947.7,21960.7,21942.65,21951.55
29/02 12:55,21952.85,21959.25,21945.15,21948.65
29/02 12:50,21942.1,21956.4,21939.35,21954.25
29/02 12:45,21962.75,21964.85,21942.85,21943.35
29/02 12:40,21937.5,21965.3,21934.05,21963.45
29/02 12:35,21941.6,21945.8,21927.3,21938.95
29/02 12:30,21916.25,21942.1,21897.15,21937.95
29/02 12:25,21941.15,21953.25,21910.3,21916.5
29/02 12:20,21952.75,21962.7,21934.85,21943.2
29/02 12:15,21950.85,21957.8,21946.55,21954.1
29/02 12:10,21949.35,21956.1,21942.35,21952.35
29/02 12:05,21966.95,21976.5,21941.15,21950.6
29/02 12:00,21955.5,21968.6,21948.6,21968.6
29/02 11:55,21957.1,21969.75,21949.85,21956.7
29/02 11:50,21953.4,21958.25,21943.35,21958.15
29/02 11:45,21953.45,21958.8,21939.3,21955
29/02 11:40,21952.15,21968.5,21949.9,21958
29/02 11:35,21959.65,21962.4,21949.75,21953.05
29/02 11:30,21935.45,21970.75,21932.85,21960.8
29/02 11:25,21960,21969.4,21923,21934.35
29/02 11:20,21953.85,21965.75,21949.65,21960.05
29/02 11:15,21967.6,21996.6,21953.35,21953.35
29/02 11:10,21926.15,21971.55,21919.8,21968.35
29/02 11:05,21912.8,21926.35,21901.9,21926
29/02 11:00,21882.3,21913.3,21882.3,21912.45
29/02 10:55,21885.1,21903.85,21882.35,21882.35
29/02 10:50,21902.35,21907.95,21883.7,21885.75
29/02 10:45,21906.6,21913,21886.95,21903.55
29/02 10:40,21883.95,21922,21875.45,21909
29/02 10:35,21883.7,21905.6,21875.45,21885.45
29/02 10:30,21901.9,21906.25,21877,21885
29/02 10:25,21884.45,21904.25,21882.35,21902.4
29/02 10:20,21874.1,21911.6,21871.05,21885.1
29/02 10:15,21873.6,21905.55,21860.65,21874.05
29/02 10:10,21940.9,21943.65,21866.15,21873.5
29/02 10:05,21998.55,22002.5,21929.15,21943.05
29/02 10:00,22015.05,22018.5,21993.8,21999.35
29/02 09:55,21982.1,22022.4,21980.3,22015.25
29/02 09:50,21942.8,21983.15,21939.75,21981.8
29/02 09:45,21948.85,21966.25,21940.45,21942.75
29/02 09:40,21949.3,21955.25,21922.4,21946.3
29/02 09:35,21985.05,21986.05,21943.55,21949.9
29/02 09:30,21952.5,21992.45,21943.6,21985.05
29/02 09:25,21933.25,21963.7,21931.85,21952.6
29/02 09:20,21934.4,21934.75,21887.1,21932.45
29/02 09:15,21935.2,21945.05,21901.15,21936.35
28/02 15:25,21934.05,21935,21915.85,21926.25
28/02 15:20,21928.15,21940.5,21920.8,21934.4
28/02 15:15,21953.45,21953.6,21923.5,21926.9
28/02 15:10,21969.9,21970.65,21945.8,21952.75
28/02 15:05,21992.95,22004.75,21969.75,21969.75
28/02 15:00,21974.75,21995.5,21968.1,21992.3
28/02 14:55,21988.85,21990.3,21967.05,21976.35
28/02 14:50,22004.05,22013.15,21981.8,21990.25
28/02 14:45,21973.4,22012.2,21973.4,22004.35
28/02 14:40,21984.35,21990.85,21966.25,21974.2
28/02 14:35,21981.8,21996.3,21976.1,21984.75
28/02 14:30,22032.7,22037.45,21980.45,21983.65
28/02 14:25,22018.85,22036,22016.4,22033.2
28/02 14:20,22026.35,22029.35,22015.25,22018.9
28/02 14:15,22044.6,22046.3,22021.65,22026.4
28/02 14:10,22042.9,22050.25,22036.6,22044.85
28/02 14:05,22030.45,22049.6,22029.9,22043.15
28/02 14:00,22026.1,22034.8,22023.05,22030.25
28/02 13:55,22021.6,22029.15,22011,22024.7
28/02 13:50,22006.15,22026.4,22003.75,22022.9
28/02 13:45,22014.65,22018.1,21993.15,22006.1
28/02 13:40,22016.15,22023.1,22005.65,22015.1
28/02 13:35,22021.85,22033.7,22008.9,22016.05
28/02 13:30,22003.25,22032.55,21992.25,22021.45
28/02 13:25,21999.75,22006.6,21984.1,22000.2
28/02 13:20,21977.75,22004,21975.1,21999.8
28/02 13:15,21943.9,21980,21943.7,21978.2
28/02 13:10,21957,21964.2,21938.9,21942.5
28/02 13:05,21987.3,21988.95,21939,21956.75
28/02 13:00,21980.15,21993.1,21971.3,21987.5
28/02 12:55,22017.95,22025.35,21976.95,21979.05
28/02 12:50,22039.25,22047,22020.95,22020.95
28/02 12:45,22051.55,22054.05,22029.4,22038.8
28/02 12:40,22044.2,22054.65,22040.85,22051.75
28/02 12:35,22036.4,22047.15,22026.9,22044.35
28/02 12:30,22046.4,22049.55,22035.05,22037.4
28/02 12:25,22051.95,22054.45,22039.1,22047.15
28/02 12:20,22043.1,22054.55,22041.05,22053.6
28/02 12:15,22039.05,22042.8,22033.55,22042.8
28/02 12:10,22017.25,22041.85,22015.7,22038.3
28/02 12:05,22023.4,22032.75,22015.05,22016.95
28/02 12:00,22037.6,22043.25,22018.4,22023.65
28/02 11:55,22035.8,22040.9,22030.85,22038.1
28/02 11:50,22042.8,22043.95,22029.15,22037.15
28/02 11:45,22023.1,22042.95,22001.3,22042.15
28/02 11:40,22063.1,22064.6,22020,22022.95
28/02 11:35,22054.75,22064.3,22049.05,22064.3
28/02 11:30,22055.85,22063.85,22040.85,22055.55
28/02 11:25,22065.1,22065.5,22046.75,22056.15
28/02 11:20,22074.6,22078.85,22059.85,22065.1
28/02 11:15,22062.7,22088.2,22061.85,22075.3
28/02 11:10,22052.35,22075.05,22048.7,22062.05
28/02 11:05,22029.8,22061,22021.15,22052.95
28/02 11:00,22063.85,22063.85,22026.3,22031.8
28/02 10:55,22116.25,22123.7,22063.95,22063.95
28/02 10:50,22176.35,22176.35,22107.25,22116.55
28/02 10:45,22200.4,22201.35,22175.4,22176
28/02 10:40,22191.35,22205.2,22190.35,22200.8
28/02 10:35,22202.35,22209.95,22191.2,22192
28/02 10:30,22216,22217.75,22200.75,22202.5
28/02 10:25,22210.1,22218,22207.05,22217.55
28/02 10:20,22212.75,22224.5,22207.4,22209.7
28/02 10:15,22218.95,22226.3,22209.35,22212.05
28/02 10:10,22224.3,22229.15,22211.1,22219.35
28/02 10:05,22194.25,22228.15,22193,22224.15
28/02 10:00,22175.3,22196.75,22168.2,22194.1
28/02 09:55,22188.75,22192.05,22175.35,22175.8
28/02 09:50,22200.7,22207.2,22185.4,22188.5
28/02 09:45,22210.2,22211.9,22196.6,22201.6
28/02 09:40,22200.25,22213.15,22185.55,22209.5
28/02 09:35,22205.6,22206.45,22195.9,22200.95
28/02 09:30,22198.45,22207.1,22184.35,22206
28/02 09:25,22212,22212.25,22192.65,22199.3
28/02 09:20,22204.6,22213.95,22198.45,22211.3
28/02 09:15,22214.1,22226.3,22188.45,22204.2
27/02 15:25,22198.6,22200.05,22187.2,22194.2
27/02 15:20,22190.8,22198.9,22178.35,22198.6
27/02 15:15,22203.55,22205,22187.45,22190.7
27/02 15:10,22206.4,22211.15,22201.65,22203.9
27/02 15:05,22212.8,22216.6,22200.05,22206.05
27/02 15:00,22189.9,22213.05,22186.85,22212.85
27/02 14:55,22182.95,22193.05,22181.4,22188.85
27/02 14:50,22179.4,22186.3,22170.2,22182
27/02 14:45,22180.1,22188.3,22177.95,22178.35
27/02 14:40,22176.2,22192.7,22174.25,22179.1
27/02 14:35,22172.7,22184.5,22172.55,22176.25
27/02 14:30,22155.8,22174.6,22149.7,22172.4
27/02 14:25,22168.15,22168.45,22151.55,22154.5
27/02 14:20,22168.1,22185.9,22165.55,22166.9
27/02 14:15,22162.9,22178.55,22162.9,22167.7
27/02 14:10,22150.6,22165.75,22148.45,22163.1
27/02 14:05,22151.8,22164.8,22146.35,22149.95
27/02 14:00,22144.2,22152.6,22134.55,22150.9
27/02 13:55,22154.95,22157.1,22132.4,22145.1
